Code Acte;Code acte/activité/phase;Libellé long;Code Activité;Code Phase;Code Regroupement;Tarif secteur 1 et 2 adhérant à l'OPTAM/OPTAM-CO;Tarif secteur 2 non adhérant à l'OPTAM/OPTAM-CO; Quantité d'actes  ;HSD;Montants remboursés;Catégorie d'acte;Sous-catégorie d'acte
AAJA002;AAJA00240;Évacuation d'hématome intracérébral traumatique [contusion], par craniotomie;4;0;ADA;275.90 €;275.90 €;9;2 525 €;2 525 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAJA002;AAJA00210;Évacuation d'hématome intracérébral traumatique [contusion], par craniotomie;1;0;ADC;305.58 €;282.57 €;9;2 432 €;2 432 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAJA003;AAJA00310;Évacuation d'hématome intracérébelleux, par craniotomie;1;0;ADC;418.00 €;418.00 €;7;2 665 €;2 665 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAJA003;AAJA00340;Évacuation d'hématome intracérébelleux, par craniotomie;4;0;ADA;357.92 €;357.92 €;5;1 661 €;1 661 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAJA004;AAJA00440;Évacuation d'hématome intracérébral non traumatique, par craniotomie;4;0;ADA;286.84 €;286.84 €;22;5 456 €;5 456 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAJA004;AAJA00410;Évacuation d'hématome intracérébral non traumatique, par craniotomie;1;0;ADC;283.60 €;269.82 €;24;5 709 €;5 699 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAJA005;AAJA00510;Évacuation de collection intracrânienne postopératoire, par reprise de la craniotomie précédente;1;0;ADC;250.99 €;215.80 €;15;3 495 €;3 485 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAJA005;AAJA00540;Évacuation de collection intracrânienne postopératoire, par reprise de la craniotomie précédente;4;0;ADA;97.51 €;97.51 €;13;1 286 €;1 286 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAJA006;AAJA00610;Parage de plaie craniocérébrale;1;0;ADC;433.91 €;383.33 €;3;1 103 €;1 103 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAJA006;AAJA00640;Parage de plaie craniocérébrale;4;0;ADA;241.45 €;241.45 €;3;697 €;697 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAJH002;AAJH00240;Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage scanographique;4;0;ADA;231.55 €;231.55 €;2;235 €;235 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAJH002;AAJH00210;Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage scanographique;1;0;ADC;250.80 €;250.80 €;2;305 €;305 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAJH003;AAJH00340;Évacuation de collection intracérébrale, par voie transcrânienne avec guidage radiologique;4;0;ADA;126.46 €;126.46 €;1;128 €;128 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAJH003;AAJH00310;Évacuation de collection intracérébrale, par voie transcrânienne avec guidage radiologique;1;0;ADC;167.20 €;167.20 €;4;782 €;782 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAKA001;AAKA00110;Changement d'un générateur souscutané de stimulation cérébrale;1;0;ADC;104.50 €;104.50 €;12;1 273 €;1 273 €;Autres Actes de Chirurgie;Actes chirurgicaux
AALA002;AALA00210;Implantation d'électrode subdurale pour enregistrement électrocorticographique, par craniotomie;1;0;ADC;272.83 €;272.83 €;3;442 €;442 €;Exploration électrophysiologique du système nerveux [EEG, EMG, sommeil];Actes techniques médicaux diagnostiques
AALA004;AALA00410;Implantation souscutanée d'un générateur de stimulation cérébrale;1;0;ADC;104.50 €;104.50 €;2;212 €;212 €;Autres Actes de Chirurgie;Actes chirurgicaux
AALB001;AALB00110;Implantation d'électrode de stimulation intracérébrale à visée thérapeutique, par voie stéréotaxique;1;0;ADC;916.03 €;794.64 €;2;92 €;92 €;Autres Actes de Chirurgie;Actes chirurgicaux
AALB002;AALB00210;Implantation d'électrode intracérébrale pour enregistrement électroencéphalographique, par voie stéréotaxique;1;0;ATM;627.00 €;627.00 €;9;5 729 €;5 719 €;Exploration électrophysiologique du système nerveux [EEG, EMG, sommeil];Actes techniques médicaux diagnostiques
AANB001;AANB00110;Destruction d'une cible intracérébrale à visée fonctionnelle, par voie stéréotaxique;1;0;ADC;695.53 €;695.53 €;2;1 412 €;1 412 €;Autres Actes de Chirurgie;Actes chirurgicaux
AAQM002;AAQM00210;Échographie transfontanellaire de l'encéphale;1;0;ADE;37.80 €;37.80 €;8 726;317 047 €;261 491 €;Autres Échographies;Imagerie Échographie
AAQN002;AAQN00210;Spectroscopie par résonance magnétique cérébrale protonique localisée;1;0;ADI;;;2;0 €;0 €;Autres radiographies;Imagerie Radiographie
AAQN004;AAQN00410;Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions motrices;1;0;ADI;69.00 €;69.00 €;126;8 686 €;6 554 €;IRM du système nerveux;Imagerie IRM
AAQN900;AAQN90010;Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions visuelles;1;0;ADI;;;0;;;IRM du système nerveux;Imagerie IRM
AAQN902;AAQN90210;Spectroscopie par résonance magnétique cérébrale protonique [Chemical shift imaging] [CSI];1;0;ADI;;;0;;;Autres radiographies;Imagerie Radiographie
AAQP002;AAQP00210;Électroencéphalographie continue ambulatoire sur au moins 8 dérivations, pendant au moins 24 heures [Holter EEG];1;0;ATM;209.95 €;145.97 €;428;68 605 €;68 009 €;Exploration électrophysiologique du système nerveux [EEG, EMG, sommeil];Actes techniques médicaux diagnostiques
AAQP003;AAQP00310;Surveillance électroencéphalographique continue sans enregistrement vidéo, par 24 heures;1;0;ATM;80.35 €;70.80 €;27;1 510 €;1 182 €;Exploration électrophysiologique du système nerveux [EEG, EMG, sommeil];Actes techniques médicaux diagnostiques
AAQP004;AAQP00410;Surveillance électroencéphalographique peropératoire sur au moins 8 dérivations, pendant moins de 4 heures;1;0;ATM;;;12;0 €;0 €;Autres Actes Médicaux Thérapeutiques;Actes techniques médicaux thérapeutiques
AAQP005;AAQP00510;Surveillance électrocorticographique peropératoire de l'activité encéphalique spontanée et/ou provoquée;1;0;ATM;;;8;0 €;0 €;Autres Actes Médicaux Thérapeutiques;Actes techniques médicaux thérapeutiques
AAQP006;AAQP00610;Électroencéphalographie de longue durée de 1 à 4 heures sur au moins 8 dérivations, avec enregistrement vidéo;1;0;ATM;139.97 €;105.37 €;5 490;719 681 €;688 283 €;Exploration électrophysiologique du système nerveux [EEG, EMG, sommeil];Actes techniques médicaux diagnostiques
AAQP007;AAQP00710;Électroencéphalographie sur au moins 8 dérivations, avec enregistrement d'une durée minimale de 20 minutes;1;0;ATM;57.60 €;57.60 €;58 441;3 307 439 €;2 675 215 €;Exploration électrophysiologique du système nerveux [EEG, EMG, sommeil];Actes techniques médicaux diagnostiques
AAQP008;AAQP00810;Surveillance électroencéphalographique peropératoire sur au moins 8 dérivations, pendant 4 heures ou plus;1;0;ATM;;;23;53 €;0 €;Autres Actes Médicaux Thérapeutiques;Actes techniques médicaux thérapeutiques
AAQP009;AAQP00910;Électroencéphalographie avec quantification, sur au moins 32 dérivations;1;0;ATM;93.31 €;78.31 €;7 080;558 291 €;458 104 €;Exploration électrophysiologique du système nerveux [EEG, EMG, sommeil];Actes techniques médicaux diagnostiques
AAQP010;AAQP01010;Électroencéphalographie de longue durée de plus de 4 heures sur au moins 8 dérivations, avec enregistrement vidéo;1;0;ATM;233.28 €;159.49 €;190;44 092 €;43 853 €;Exploration électrophysiologique du système nerveux [EEG, EMG, sommeil];Actes techniques médicaux diagnostiques
AAQP011;AAQP01110;Électroencéphalographie sur au moins 8 dérivations avec enregistrement d'une durée minimale de 20 minutes, au lit du malade;1;0;ATM;84.67 €;73.30 €;6 686;553 522 €;525 134 €;Exploration électrophysiologique du système nerveux [EEG, EMG, sommeil];Actes techniques médicaux diagnostiques
AAQP012;AAQP01210;Surveillance électroencéphalographique continue avec enregistrement vidéo, par 24 heures;1;0;ATM;345.60 €;256.90 €;123;33 814 €;33 793 €;Exploration électrophysiologique du système nerveux [EEG, EMG, sommeil];Actes techniques médicaux diagnostiques
AAQP013;AAQP01310;Surveillance électrocorticographique continue avec enregistrement vidéo, par 24 heures;1;0;ATM;345.60 €;256.90 €;3;1 053 €;1 053 €;Exploration électrophysiologique du système nerveux [EEG, EMG, sommeil];Actes techniques médicaux diagnostiques
AAQP900;AAQP90010;Électroencéphalographie avec modélisation de sources, sur au moins 32 dérivations;1;0;ATM;;;1;0 €;0 €;Exploration électrophysiologique du système nerveux [EEG, EMG, sommeil];Actes techniques médicaux diagnostiques
ABCA001;ABCA00110;Ventriculoventriculostomie, ventriculocisternostomie, kystocisternostomie ou kystoventriculostomie, par craniotomie;1;0;ADC;421.86 €;376.35 €;13;4 091 €;4 081 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABCA001;ABCA00140;Ventriculoventriculostomie, ventriculocisternostomie, kystocisternostomie ou kystoventriculostomie, par craniotomie;4;0;ADA;189.03 €;189.03 €;10;1 655 €;1 655 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABCA002;ABCA00210;Dérivation péritonéale ou atriale du liquide cérébrospinal ventriculaire, par abord direct;1;0;ADC;261.62 €;257.08 €;168;46 598 €;46 317 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABCA002;ABCA00240;Dérivation péritonéale ou atriale du liquide cérébrospinal ventriculaire, par abord direct;4;0;ADA;142.11 €;142.11 €;148;21 778 €;21 778 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABCA003;ABCA00310;Dérivation péritonéale d'une collection subdurale du liquide cérébrospinal crânien, par abord direct;1;0;ADC;261.62 €;257.08 €;1;278 €;278 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABCA003;ABCA00340;Dérivation péritonéale d'une collection subdurale du liquide cérébrospinal crânien, par abord direct;4;0;ADA;140.64 €;140.64 €;1;143 €;143 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABCA004;ABCA00440;Dérivation péritonéale ou atriale de kyste intracrânien, par abord direct;4;0;ADA;135.88 €;135.88 €;4;552 €;552 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABCA004;ABCA00410;Dérivation péritonéale ou atriale de kyste intracrânien, par abord direct;1;0;ADC;268.00 €;260.78 €;4;1 128 €;1 128 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABCB001;ABCB00140;Dérivation externe du liquide cérébrospinal ventriculaire ou subdural, par voie transcrânienne;4;0;ADA;99.34 €;99.34 €;57;5 539 €;5 539 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABCB001;ABCB00110;Dérivation externe du liquide cérébrospinal ventriculaire ou subdural, par voie transcrânienne;1;0;ADC;145.35 €;119.42 €;58;7 227 €;7 227 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABCC001;ABCC00110;Ventriculoventriculostomie, ventriculocisternostomie, kystocisternostomie ou kystoventriculostomie, par vidéochirurgie intracrânienne;1;0;ADC;366.55 €;344.27 €;57;21 715 €;21 703 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABCC001;ABCC00140;Ventriculoventriculostomie, ventriculocisternostomie, kystocisternostomie ou kystoventriculostomie, par vidéochirurgie intracrânienne;4;0;ADA;166.30 €;166.30 €;46;7 691 €;7 691 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABFA001;ABFA00140;Exérèse et/ou fermeture de méningoencéphalocèle de la base du crâne, sans rapprochement orbitaire;4;0;ADA;225.72 €;225.72 €;2;458 €;458 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABFA001;ABFA00110;Exérèse et/ou fermeture de méningoencéphalocèle de la base du crâne, sans rapprochement orbitaire;1;0;ADC;617.54 €;445.95 €;2;723 €;723 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABFA002;ABFA00240;Exérèse de lésion du troisième ventricule, par craniotomie;4;0;ADA;382.78 €;382.78 €;5;1 749 €;1 749 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABFA002;ABFA00210;Exérèse de lésion du troisième ventricule, par craniotomie;1;0;ADC;1 000.40 €;843.57 €;8;7 512 €;7 512 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABFA003;ABFA00310;Exérèse et/ou fermeture de méningoencéphalocèle de la voûte crânienne;1;0;ADC;282.29 €;282.29 €;1;305 €;305 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABFA003;ABFA00340;Exérèse et/ou fermeture de méningoencéphalocèle de la voûte crânienne;4;0;ADA;171.11 €;171.11 €;0;;;Autres Actes de Chirurgie;Actes chirurgicaux
ABFA004;ABFA00440;Exérèse et/ou fermeture de méningoencéphalocèle de la base du crâne, avec rapprochement orbitaire;4;0;ADA;302.99 €;302.99 €;0;;;Autres Actes de Chirurgie;Actes chirurgicaux
ABFA004;ABFA00410;Exérèse et/ou fermeture de méningoencéphalocèle de la base du crâne, avec rapprochement orbitaire;1;0;ADC;891.92 €;666.55 €;0;;;Autres Actes de Chirurgie;Actes chirurgicaux
ABFA005;ABFA00540;Exérèse de lésion d'un ventricule latéral cérébral, par craniotomie;4;0;ADA;378.39 €;378.39 €;30;11 352 €;11 352 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABFA005;ABFA00510;Exérèse de lésion d'un ventricule latéral cérébral, par craniotomie;1;0;ADC;811.10 €;733.77 €;35;27 325 €;27 325 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABFA006;ABFA00640;Exérèse de lésion du quatrième ventricule, par craniotomie;4;0;ADA;435.21 €;435.21 €;10;4 438 €;4 438 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABFA006;ABFA00610;Exérèse de lésion du quatrième ventricule, par craniotomie;1;0;ADC;884.83 €;732.65 €;13;9 767 €;9 767 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABFA007;ABFA00710;Exérèse d'une fistule dermique avec prolongement intradural occipital;1;0;ADC;244.87 €;244.87 €;4;601 €;588 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABFA007;ABFA00740;Exérèse d'une fistule dermique avec prolongement intradural occipital;4;0;ADA;169.42 €;169.42 €;3;344 €;344 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABFA008;ABFA00810;Exérèse de tumeur de la tente du cervelet, par craniotomie soustentorielle;1;0;ADC;792.66 €;723.09 €;11;8 696 €;8 696 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABFA008;ABFA00840;Exérèse de tumeur de la tente du cervelet, par craniotomie soustentorielle;4;0;ADA;385.37 €;385.37 €;7;2 739 €;2 739 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABFA009;ABFA00910;Exérèse de tumeur de l'incisure de la tente, par craniotomie sustentorielle;1;0;ADC;1 006.78 €;935.06 €;19;19 538 €;19 548 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABFA009;ABFA00940;Exérèse de tumeur de l'incisure de la tente, par craniotomie sustentorielle;4;0;ADA;375.80 €;375.80 €;16;6 151 €;6 151 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABFA010;ABFA01010;Exérèse de tumeur de la faux du cerveau, par craniotomie;1;0;ADC;725.31 €;684.02 €;72;53 102 €;53 082 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABFA010;ABFA01040;Exérèse de tumeur de la faux du cerveau, par craniotomie;4;0;ADA;355.66 €;355.66 €;61;19 949 €;19 949 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABFC001;ABFC00110;Exérèse de lésion du troisième ventricule, par vidéochirurgie intracrânienne;1;0;ADC;651.57 €;641.25 €;4;3 035 €;3 035 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABFC001;ABFC00140;Exérèse de lésion du troisième ventricule, par vidéochirurgie intracrânienne;4;0;ADA;358.59 €;358.59 €;4;1 456 €;1 456 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABFC002;ABFC00210;Exérèse de lésion d'un ventricule latéral cérébral, par vidéochirurgie intracrânienne;1;0;ADC;627.00 €;627.00 €;0;;;Autres Actes de Chirurgie;Actes chirurgicaux
ABFC002;ABFC00240;Exérèse de lésion d'un ventricule latéral cérébral, par vidéochirurgie intracrânienne;4;0;ADA;337.33 €;337.33 €;0;;;Autres Actes de Chirurgie;Actes chirurgicaux
ABGA002;ABGA00240;Ablation d'une dérivation interne du liquide cérébrospinal intracrânien, par abord direct;4;0;ADA;64.15 €;64.15 €;14;697 €;697 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABGA002;ABGA00210;Ablation d'une dérivation interne du liquide cérébrospinal intracrânien, par abord direct;1;0;ADC;91.46 €;70.61 €;15;867 €;867 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABGA003;ABGA00310;Ablation d'un système diffuseur implanté et du cathéter intraventriculaire ou intrakystique cérébral;1;0;ADC;65.23 €;55.39 €;1;28 €;28 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABHB001;ABHB00110;Ponction de liquide cérébrospinal ventriculaire, par voie transcrânienne;1;0;ATM;92.88 €;86.13 €;6;394 €;394 €;Autres Actes Médicaux Diagnostiques;Actes techniques médicaux diagnostiques
ABHB002;ABHB00210;Ponction de liquide cérébrospinal ou de collection intracrânienne, par voie transfontanellaire;1;0;ATM;39.00 €;34.71 €;1;40 €;32 €;Autres Actes Médicaux Diagnostiques;Actes techniques médicaux diagnostiques
ABJA001;ABJA00110;Évacuation d'une hémorragie intraventriculaire cérébrale, par craniotomie;1;0;ADC;259.96 €;259.96 €;1;141 €;141 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABJA001;ABJA00140;Évacuation d'une hémorragie intraventriculaire cérébrale, par craniotomie;4;0;ADA;273.64 €;273.64 €;1;139 €;139 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABJA002;ABJA00240;Évacuation d'un hématome subdural aigu, par craniotomie;4;0;ADA;173.26 €;173.26 €;183;31 929 €;31 929 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABJA002;ABJA00210;Évacuation d'un hématome subdural aigu, par craniotomie;1;0;ADC;250.80 €;250.80 €;184;48 713 €;48 713 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABJA003;ABJA00310;Évacuation d'un hématome subdural chronique unilatéral, par craniotomie;1;0;ADC;194.27 €;182.90 €;173;35 573 €;35 573 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABJA003;ABJA00340;Évacuation d'un hématome subdural chronique unilatéral, par craniotomie;4;0;ADA;138.49 €;138.49 €;171;25 591 €;25 581 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABJA004;ABJA00440;Évacuation d'un hématome extradural infratentoriel, par craniotomie;4;0;ADA;201.86 €;201.86 €;0;;;Autres Actes de Chirurgie;Actes chirurgicaux
ABJA004;ABJA00410;Évacuation d'un hématome extradural infratentoriel, par craniotomie;1;0;ADC;313.50 €;313.50 €;0;;;Autres Actes de Chirurgie;Actes chirurgicaux
ABJA005;ABJA00510;Évacuation d'un hématome extradural supratentoriel, par craniotomie;1;0;ADC;313.50 €;313.50 €;17;5 069 €;5 069 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABJA005;ABJA00540;Évacuation d'un hématome extradural supratentoriel, par craniotomie;4;0;ADA;201.86 €;201.86 €;17;3 266 €;3 266 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABJA006;ABJA00640;Évacuation d'un hématome subdural chronique bilatéral, par craniotomie;4;0;ADA;156.78 €;156.78 €;46;7 453 €;7 453 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABJA006;ABJA00610;Évacuation d'un hématome subdural chronique bilatéral, par craniotomie;1;0;ADC;250.80 €;250.80 €;46;12 311 €;12 311 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABJA008;ABJA00810;Évacuation d'un empyème intracrânien extracérébral, par craniotomie;1;0;ADC;254.53 €;235.41 €;7;1 779 €;1 779 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABJA008;ABJA00840;Évacuation d'un empyème intracrânien extracérébral, par craniotomie;4;0;ADA;188.33 €;188.33 €;7;1 285 €;1 285 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABJB001;ABJB00140;Évacuation de liquide cérébrospinal ventriculaire avec injection à visée thérapeutique, par voie transcrânienne;4;0;ADA;86.88 €;86.88 €;3;176 €;176 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABJB001;ABJB00110;Évacuation de liquide cérébrospinal ventriculaire avec injection à visée thérapeutique, par voie transcrânienne;1;0;ADC;102.10 €;91.47 €;15;1 248 €;1 217 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABJC900;ABJC90010;Évacuation d'une hémorragie intraventriculaire cérébrale non traumatique, par vidéochirurgie;1;0;ADC;;;0;;;Autres Actes de Chirurgie;Actes chirurgicaux
ABLA001;ABLA00110;Pose d'un cathéter intraventriculaire ou intrakystique cérébral par voie transcrânienne, avec pose d'un système diffuseur ou d'une pompe implantable souscutané;1;0;ADC;156.69 €;125.99 €;6;664 €;664 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABLA001;ABLA00140;Pose d'un cathéter intraventriculaire ou intrakystique cérébral par voie transcrânienne, avec pose d'un système diffuseur ou d'une pompe implantable souscutané;4;0;ADA;120.96 €;120.96 €;6;599 €;599 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABLB001;ABLB00110;Pose d'un cathéter ventriculaire cérébral par voie transcrânienne, avec mesure instantanée de la pression intracrânienne et tests dynamiques;1;0;ADC;110.60 €;99.26 €;5;437 €;384 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABLB003;ABLB00310;Pose d'un capteur extraventriculaire de pression intracrânienne, par voie transcrânienne;1;0;ADC;96.42 €;91.04 €;14;884 €;884 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABMA002;ABMA00210;Révision ou changement d'élément d'une dérivation interne du liquide cérébrospinal, par abord direct;1;0;ADC;255.24 €;183.15 €;16;3 171 €;3 171 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABMA002;ABMA00240;Révision ou changement d'élément d'une dérivation interne du liquide cérébrospinal, par abord direct;4;0;ADA;79.54 €;79.54 €;15;1 194 €;1 194 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABMA003;ABMA00310;Révision ou changement d'élément d'une dérivation interne du liquide cérébrospinal, par craniotomie;1;0;ADC;262.33 €;239.93 €;32;7 993 €;7 993 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABMA003;ABMA00340;Révision ou changement d'élément d'une dérivation interne du liquide cérébrospinal, par craniotomie;4;0;ADA;104.50 €;104.50 €;30;2 926 €;2 926 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABML001;ABML00110;Vérification radio-isotopique d'une dérivation du liquide cérébrospinal;1;0;ADI;138.15 €;138.15 €;1;140 €;140 €;Autres Scintigraphies;Imagerie Scintigraphie
ABQL002;ABQL00210;Cisternographie radio-isotopique;1;0;ADI;279.63 €;279.63 €;1;284 €;284 €;Autres Scintigraphies;Imagerie Scintigraphie
ABQP001;ABQP00110;Surveillance continue de la pression intracrânienne, par 24 heures;1;0;ATM;;;2;0 €;0 €;Autres Actes Médicaux Diagnostiques;Actes techniques médicaux diagnostiques
ABSA001;ABSA00110;Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par craniotomie;1;0;ADC;419.02 €;418.59 €;3;1 432 €;1 422 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABSA001;ABSA00140;Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par craniotomie;4;0;ADA;259.68 €;259.68 €;2;553 €;553 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABSA002;ABSA00210;Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord translabyrinthique;1;0;ADC;589.82 €;517.66 €;2;1 051 €;1 041 €;Autres Actes de Chirurgie;Actes chirurgicaux
ABSA002;ABSA00240;Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord translabyrinthique;4;0;ADA;276.18 €;276.18 €;0;;;Autres Actes de Chirurgie;Actes chirurgicaux
